n,m,phi_n,e_m,deviation_pct,ratio,m_type
16,7.7,2206.9995468961474,2208.347991887209,0.06106125465802226,0.9993893874534198,tenth
9,4.333333333333333,76.01315561749645,76.19785657297057,0.24239652370960768,0.9975760347629039,third
18,8.666666666666666,5777.999826929732,5806.1133463149945,0.4842054866721713,0.9951579451332783,third
5,2.4000000000000004,11.090169943749476,11.023176380641605,0.6077518928711196,1.0060775189287112,tenth
11,5.300000000000001,199.0050249987407,200.33680997479183,0.6647729771771359,0.9933522702282287,tenth
27,13.0,439204.00000227726,442413.3920089205,0.7254283131145635,0.9927457168688544,integer
36,17.333333333333332,33385282.00000001,33710952.190257095,0.9660664238110918,0.990339335761889,third
26,12.5,271442.9999963162,268337.2865208745,1.1573916974822414,1.0115739169748224,half-integer
45,21.666666666666668,2537720636.000004,2568702299.931485,1.206121236092938,0.9879387876390706,third
10,4.800000000000001,122.99186938124426,121.51041751873497,1.2191974093751037,1.012191974093751,tenth
6,2.9000000000000004,17.944271909999163,18.174145369443067,1.2648377944109566,0.9873516220558904,tenth
15,7.2,1364.0007331374366,1339.430764394418,1.8343589975796235,1.0183435899757962,tenth
1,0.5,1.618033988749895,1.6487212707001282,1.8612777366062587,0.9813872226339374,half-integer
17,8.200000000000001,3571.000280033584,3640.9503073323585,1.9212024717257161,0.9807879752827429,tenth
20,9.600000000000001,15126.999933893048,14764.781565577294,2.4532592419804757,1.0245325924198048,tenth
12,5.800000000000001,321.996894379985,330.2995599096489,2.5136774423602115,0.9748632255763979,tenth
4,1.9000000000000001,6.854101966249686,6.68589444227927,2.5158567103113296,1.0251585671031134,tenth
28,13.5,710646.9999985935,729416.3698477013,2.5732038140337825,0.9742679618596621,half-integer
43,20.666666666666668,969323029.0000014,944972766.6345934,2.5768216000688136,1.0257682160006882,third
34,16.333333333333332,12752042.999999937,12401566.253108991,2.8260684153752202,1.0282606841537523,third
25,12.0,167761.000005961,162754.79141900392,3.0759208643319407,1.0307592086433195,integer
7,3.4000000000000004,29.03444185374864,29.964100047397025,3.1025733867456675,0.9689742661325433,tenth
9,4.3,76.01315561749645,73.69979369959579,3.138898769961349,1.0313889876996134,tenth
16,7.666666666666667,2206.9995468961474,2135.949733220415,3.3263804185414565,1.0332638041854145,third
7,3.3333333333333335,29.03444185374864,28.03162489452614,3.577448553181533,1.0357744855318154,third
2,1.0,2.618033988749895,2.718281828459045,3.68791192508465,0.9631208807491535,integer
18,8.700000000000001,5777.999826929732,6002.912217261029,3.746721294450616,0.9625327870554938,tenth
14,6.7,842.9988137587108,812.4058251675433,3.7657273795222026,1.037657273795222,tenth
11,5.333333333333333,199.0050249987407,207.1272488898345,3.921369078490388,0.9607863092150961,third
20,9.666666666666666,15126.999933893048,15782.652403261587,4.154260339871921,0.9584573966012808,third
13,6.300000000000001,521.0019193787257,544.5719101259294,4.328168660361734,0.9567183133963827,tenth
29,14.0,1149851.0000008708,1202604.2841647768,4.386587080931929,0.9561341291906807,integer
19,9.1,9349.000106963316,8955.292703482508,4.3963655518228295,1.0439636555182283,tenth
3,1.4000000000000001,4.23606797749979,4.055199966844675,4.460150230170933,1.0446015023017092,tenth
38,18.333333333333332,87403803.0000001,91635868.75882752,4.618350670047784,0.9538164932995221,third
47,22.666666666666668,6643838879.0000105,6982456784.624713,4.849552472280746,0.9515044752771925,third
8,3.9000000000000004,46.978713763747805,49.40244910553019,4.906103615642541,0.9509389638435746,tenth
